Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper15k0x375pddkjde6h3zxu559wn9v294l726z787,94.92,1,False,585944,556158,29786,3922,113,2612997.8,1089.8
storyvaloper1hysw78eqmnfvtgsx7x4eg7gl73raper4qd8q4x,94.82,1,False,643834,610491,33343,4281,113,2210565.6,2113.6
storyvaloper1xt07svwfcq70gjyn60ggdk04d8p5mcu9x3emh7,93.18,1,True,266027,247878,18149,1815,2,133972.8,972.8
storyvaloper109xy2m2jsej7p0h64gr6rnl7h9gnjg0j0waufv,92.68,1,False,533103,494067,39036,3454,113,2334403.8,2047.8
storyvaloper1re39cmlfjp5cak4x0vhuztf8p0c0rs3r9lzfg3,90.33,0,False,656083,592671,63412,4349,115,2841312.0,1024.0
storyvaloper1e7ddt2nsgagglccj3tgj8gk4n6rye2sx2myxgw,89.39,0,False,656085,586459,69626,4103,114,2575072.0,1024.0
storyvaloper1rxa60lwchrr0mzsrwqud6rrz6jgdat7gsglmet,87.85,0,False,656137,576443,79694,4182,115,3114819.0,2147.0
storyvaloper18r2ufqkmsk0zk5mv3mnfr97hgllyfz4w07pl8y,84.8,1,False,650319,551494,98825,3826,115,2290446.8,1098.8
storyvaloper17y27wj0n54uajlsrt7umquq56dfe966ljfzx7g,84.68,1,True,240164,203366,36798,1448,2,133972.8,972.8
storyvaloper1tjnj658854xdly7fmyugu74rn0z2egtk5u7tp9,0,0,False,0,0,0,0,1,1024.0,1024.0
storyvaloper1a2khawzy374cm42tfn6v7uglplxkkld6hzpkpv,0.0,1,False,28801,0,28801,0,2,281033.8,1089.8
