Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1n9ft9mx5q0amlwextftwpehxe082sj2sj8tzrk,99.98,0,False,18673,18670,3,129,1,24507.0,24507.0
storyvaloper16xg48zr4m6unpwqd6c9q2uj4t3nrllqp8tw02u,99.98,0,False,21544,21540,4,148,1,24061.0,24061.0
storyvaloper16nwswhexfkv36f57um68td5j7mtsf9j4wfj4dn,99.98,0,False,674193,674027,166,8016,115,3168634.0,1024.0
storyvaloper1u30x96px5t3q3kl4n6d0d5sl52zkw5vqylp9fz,99.98,0,False,21973,21969,4,142,1,24024.0,24024.0
storyvaloper1ymsmqlx54g33msau9x98my03p9hd36djvkylqd,99.97,0,False,18182,18177,5,127,3,23067.0,21019.0
storyvaloper1x9c7xr8x4du2e926cgztthaq8cydnvcvvypesa,99.97,0,False,18404,18399,5,129,1,24327.0,24327.0
storyvaloper1tg3tzx9nt6069sxrw4s6e0g50h4ljmfnc0te4l,99.97,0,False,656154,655953,201,4571,114,2347815.0,1095.0
storyvaloper1wv2wuyk00y6fscxnyc5m7j9fr4vpwj4thq3kt9,99.97,0,False,18195,18189,6,124,1,19990.0,19990.0
storyvaloper1cu3ua6279lk9w2kxlulzr2ttyzpxd5hytyfc4y,99.97,0,False,18637,18631,6,115,1,11000.0,11000.0
storyvaloper1ml7wkkeuupt9syle0zszvst88632mz8g3aahpy,99.97,0,False,18133,18128,5,123,1,19989.0,19989.0
storyvaloper18m7p3puy2scyqp83369nhlmmerk3vmgs4rngfc,99.96,0,False,18090,18083,7,113,1,10000.0,10000.0
storyvaloper1vq80dadh9zplaus3pkhasvqc3guztnxhj0fj38,99.96,0,False,656146,655901,245,4539,115,2217696.0,1024.0
storyvaloper1ckj7xq5uk44tqh9sty8qct9cz3hemh0zgyktar,99.96,0,False,111291,111249,42,657,1,26237.0,26237.0
storyvaloper1egge9775vhypgsgd9mqq2uw3q5gqut708hj57y,99.96,0,False,18086,18078,8,114,1,9999.0,9999.0
storyvaloper1ulrqpkgw5utu35362vpvknql9x6qresgags8q2,99.96,0,False,656145,655870,275,4541,113,2750176.0,1024.0
storyvaloper1765xe28ktlpkxvwsndx4aswx2rwxt24v7lx4u7,99.96,0,False,18111,18103,8,123,1,19890.0,19890.0
storyvaloper1pjfazvhc93m5s7jyx4md36nxxllmhedkt77wc7,99.95,0,False,27819,27804,15,183,1,24615.0,24615.0
storyvaloper1r62nlglv96dqhqhsc2dq3tfydh7kp2pq8f7w07,99.95,0,False,24362,24351,11,165,1,24568.6,24568.6
storyvaloper1wh896802py6w66ymexxqdduf0d4jq4zw04yqzr,99.95,0,False,18227,18218,9,124,1,19548.0,19548.0
storyvaloper1wl873hxdkhhjalt86zgmyphfzlt2kl39kf4x2a,99.95,0,False,674244,673885,359,30860,148,3739797.3,1024.0
storyvaloper13cm9skv9yq6s983axr4hyy45awcaxtwtqsj8tu,99.95,0,False,18289,18279,10,121,1,19000.0,19000.0
storyvaloper137cw3ke8e7lq8u0r57yxqatc6w2m9k379k0zpa,99.95,0,False,656133,655819,314,4626,112,2259726.0,1070.0
storyvaloper16qcd4vf5y8getfsc2a8amww8kawqrcwpmwrpua,99.95,0,False,29214,29198,16,202,1,24943.0,24943.0
storyvaloper16exhdc2hzrtralnk5meca08nd8kfeu00kvxgs3,99.95,0,False,18776,18766,10,127,1,19500.0,19500.0
storyvaloper1rzhgd5rdcff0uee3jahp75guypgalkuldm2tq2,99.94,0,False,656138,655720,418,4642,113,2606816.0,1024.0
storyvaloper1r6967ky90cvtpmzag5l2hyqqln7kmcetg72sne,99.94,0,False,656141,655753,388,4631,115,2723625.0,1097.0
storyvaloper1x4e6l5dgfap6yhpdeg4a28dad0lfgg39nypxlt,99.94,0,False,18174,18164,10,123,1,22384.0,22384.0
storyvaloper1fhrm40tnvgf4qp5ywn74pwn72t5eynrgdljds3,99.94,0,False,656111,655723,388,4712,114,3121888.0,1024.0
storyvaloper12vs37z0ee7m9xns8zkqsng9qnf5pkvcnqgdzqt,99.94,0,False,18440,18429,11,128,1,23703.0,23703.0
storyvaloper1dzw4c607cnqnxe0djvr5a8chjm0h99yjxl7tpy,99.94,0,False,18147,18137,10,123,1,19995.1,19995.1
storyvaloper1d0k6pzc6kpvfwguqwxer87aef5njrqngdgasu0,99.94,0,False,18226,18215,11,123,1,23995.0,23995.0
storyvaloper1sp0u3967vczunl25sxh8ftk7hrex8qe74czqks,99.94,0,False,18103,18093,10,121,1,19000.0,19000.0
storyvaloper1kykx4cc73cwrnqus2rflullfw67mrwdde73xp5,99.94,0,False,74106,74063,43,474,1,25861.9,25861.9
storyvaloper1gnkssjh2nva4z0yvv7megl25hmmvg9csvggt0h,99.93,0,False,18133,18120,13,123,1,19993.0,19993.0
storyvaloper15m5s09ptvuyrmmml5g7e2xg7hrewp3x5cdufu4,99.93,0,False,18187,18175,12,123,1,19950.0,19950.0
storyvaloper1cvsdp0tsz25fhedd7cjvntq42347astvar06v8,99.93,0,False,21257,21243,14,146,3,23893.0,21598.0
